R1,R2
1.197276152,1.495346142
1.311497318,1.675651901
1.290391323,1.418679707
1.301036575,1.635263814
1.291127541,1.270634739
1.115065685,1.088994452
1.167708193,1.416170597
1.300422868,1.315235743
1.331746695,1.451769348
1.141769797,1.318028128
1.269437517,1.362346417
1.015506125,1.205760145
1.133862609,1.159317317
1.138735989,1.321821386
1.441054521,1.563809392
1.298900747,1.497872494
1.325299824,1.540500688
1.36435397,1.615851228
1.427516911,1.717251438
1.15036798,1.475173177
1.158582267,1.448612724
1.091444829,1.411919725
1.211284525,1.440590326
1.326980588,1.490752145
1.168087786,1.437872961
1.47599726,1.665263711
1.216198608,1.515953298
1.233953207,1.576713318
1.092910864,1.211285122
0.996919356,1.24622854
1.311157477,1.464274416
0.925486788,1.263333886
1.129623846,1.333555575
1.032278402,1.055788748
1.422501195,1.429617394
1.208610551,1.42494757
1.188847626,1.358920737
1.032722293,1.105025155
1.315616725,1.521865634
1.16504638,1.339935174
1.231492553,1.345839212
1.318699792,1.62182722
1.102028424,1.005236143
1.345999505,1.746338993
1.406909722,1.51704561
1.034436357,1.333176633
1.312836217,1.67815233
1.281079138,1.683326052
1.340773323,1.578289784
1.24573455,1.539718841
1.495503695,1.601129059
1.244348729,1.422747743
1.046708969,1.326940718
1.194301117,1.265692405
1.049100883,1.343827229
1.168221829,1.405140998
1.555702469,1.650514494
1.230168642,1.294635328
1.135195352,1.356599129
1.313995649,1.41654811
0.88033945,0.925952745
1.227978458,1.569642162
1.062603696,1.269715785
0.993768345,1.077926717
1.187526078,1.438168658
1.512428332,1.556519516
1.259765655,1.384113452
1.20996511,1.435915773
1.093156138,1.216609908
1.362655524,1.59605475
1.553777801,1.509504945
1.133633591,1.536842439
1.068404285,1.203959849
1.187159691,1.414447335
1.308840769,1.630588529
1.131536537,1.216092153
1.217672308,1.551311185
1.134131541,1.238162093
1.321583758,1.495271196
1.319815153,1.479934349
1.168752626,1.197723794
1.097785128,1.135098681
1.290870805,1.40678661
1.308083225,1.117709578
1.079796543,1.476207841
1.395061337,1.591541702
1.260299585,1.515361312
1.343120426,1.528739155
1.109350491,1.35972247
1.387126318,1.574556634
1.38541762,1.358984235
1.351961531,1.577185355
1.178481049,1.377955866
1.11252641,1.21561091
1.569711296,1.725082797
1.104927304,1.312379998
1.09546851,1.335868052
1.365573937,1.388612444
1.419380323,1.457830844
1.252353991,1.297192454
1.356122074,1.601239868
1.418396657,1.565362127
1.197830194,1.425457284
1.091303253,1.212000269
1.348451192,1.565472697
1.079520069,1.260081261
1.205256656,1.363222032
0.935833454,1.150538966
1.331871394,1.436141082
1.193648578,1.909690513
1.276169973,1.342601883
1.1686865,1.137834014
1.208657459,1.561996951
1.126840451,1.2787195
1.622018206,2.065150781
1.428052464,1.785558567
1.080131901,1.248862347
1.197329556,1.500299228
1.266632824,1.365624606
1.314942465,1.531334158
1.401851616,1.691737633
1.315878229,1.634784651
1.156003266,1.444691965
1.369845656,1.560185216
1.467363963,1.618020132
1.547809816,1.703825896
