R1,R2
1.366587115,1.490816567
1.45171227,1.719281987
1.551906594,1.737187341
1.64653844,1.774695508
1.423162731,1.563309349
1.616526622,1.813869623
1.612428397,1.834219765
1.410803958,1.685985947
1.418192455,1.558735294
1.413483032,1.524554888
1.604596177,1.865402236
1.341278045,1.549989652
1.456073286,1.506678333
1.923357683,2.155166497
1.825929627,1.953367574
1.455598368,1.474507863
1.38443417,1.495516923
1.461782423,1.495766967
1.354742387,1.461533464
1.480416706,1.695671612
1.47045528,1.619184146
1.573589247,1.727483786
2.015943039,2.236851804
1.587627631,1.738639669
1.49275797,1.705039534
1.289080277,1.560213846
1.53764399,1.553601726
1.454863689,1.558491119
1.604180009,1.889560364
1.481452015,1.568056781
1.62566978,1.770349301
1.647144249,1.71727484
1.565997331,1.764617137
1.453897824,1.576743039
1.398452386,1.755911677
1.5976163,1.693031907
0.625648071,1.424007088
1.456814159,1.568180685
1.382219486,1.515431319
1.51596238,2.010525567
1.390398893,1.570778697
1.923827372,2.111889006
1.281433898,1.578358539
1.634786714,2.080420949
1.269472812,1.39271544
1.499145638,1.624646442
1.710299747,1.689271907
1.52634076,1.703876842
1.601366997,1.707343158
1.674332425,1.956367057
1.231660402,1.373663893
1.757796471,1.81364801
1.51197811,1.604266476
1.486084595,1.651710831
1.567847031,1.691333434
1.258778891,1.481258656
1.608572699,1.739649699
1.497314841,1.681401699
1.71035682,2.00723701
1.589644583,1.669975647
1.344965101,1.527742076
1.466066461,1.667685224
1.617918786,1.673792519
1.468457786,1.713873533
1.472757101,1.635579308
1.434435378,1.56072817
1.523028341,1.763334337
1.388306796,1.590009603
1.539095318,1.72709275
1.545980093,1.670435253
1.729945501,1.71829695
1.493652642,1.569923063
1.334524049,1.517471883
1.529096801,1.722222578
1.518247883,1.762334547
1.448185059,1.69588815
1.438605291,1.96078444
1.58771842,1.806982275
1.674922344,1.664264182
1.499547373,1.579570511
1.53948614,1.642450014
1.797555532,1.947356052
1.359895715,1.424176309
1.384634178,1.497214688
1.541981224,1.610626035
1.420764799,1.641175559
1.714718227,1.902793427
